EventID,DonationID,DonorID,MunicipalityID,GiftID,DonationAmountYen,DonatedAt,PaymentMethod,WorkshopRunId,ParticipantAlias,SourceFile,PublishedAtUtc
EVT-FRS-002959,6002959,2001419,152251,3000545,10000,2026-08-21T14:18:14Z,クレジットカード,increment-run-003,workshop-participant,donation_events_003.csv,2026-09-01T00:03:20Z
EVT-FRS-004924,6004924,2006066,122335,3005410,5000,2026-08-21T14:36:44Z,クレジットカード,increment-run-003,workshop-participant,donation_events_003.csv,2026-09-01T00:03:20Z
EVT-FRS-009931,6009931,2006905,462217,3004556,20000,2026-08-21T14:38:43Z,電子決済,increment-run-003,workshop-participant,donation_events_003.csv,2026-09-01T00:03:20Z
EVT-FRS-009494,6009494,2001770,022080,3003964,10000,2026-08-21T14:46:44Z,クレジットカード,increment-run-003,workshop-participant,donation_events_003.csv,2026-09-01T00:03:20Z
EVT-FRS-011630,6011630,2011310,452041,3004484,20000,2026-08-21T14:46:59Z,コンビニ決済,increment-run-003,workshop-participant,donation_events_003.csv,2026-09-01T00:03:20Z
EVT-FRS-001210,6001210,2011842,342025,3004445,10000,2026-08-21T14:48:12Z,銀行振込,increment-run-003,workshop-participant,donation_events_003.csv,2026-09-01T00:03:20Z
EVT-FRS-004603,6004603,2007206,215040,3002033,30000,2026-08-21T14:55:35Z,クレジットカード,increment-run-003,workshop-participant,donation_events_003.csv,2026-09-01T00:03:20Z
EVT-FRS-005781,6005781,2007926,112089,3004541,10000,2026-08-21T14:56:29Z,クレジットカード,increment-run-003,workshop-participant,donation_events_003.csv,2026-09-01T00:03:20Z
EVT-FRS-014518,6014518,2009423,122114,3003302,5000,2026-08-21T14:59:13Z,クレジットカード,increment-run-003,workshop-participant,donation_events_003.csv,2026-09-01T00:03:20Z
EVT-FRS-014180,6014180,2002613,122068,3005992,5000,2026-08-21T15:06:33Z,電子決済,increment-run-003,workshop-participant,donation_events_003.csv,2026-09-01T00:03:20Z
EVT-FRS-001629,6001629,2002691,162094,3001520,12000,2026-08-21T15:09:06Z,クレジットカード,increment-run-003,workshop-participant,donation_events_003.csv,2026-09-01T00:03:20Z
EVT-FRS-000396,6000396,2009591,012246,3002090,10000,2026-08-21T15:13:11Z,クレジットカード,increment-run-003,workshop-participant,donation_events_003.csv,2026-09-01T00:03:20Z
EVT-FRS-001246,6001246,2007005,142166,3000621,25000,2026-08-21T15:13:11Z,クレジットカード,increment-run-003,workshop-participant,donation_events_003.csv,2026-09-01T00:03:20Z
EVT-FRS-010580,6010580,2011704,142131,3001788,10000,2026-08-21T15:14:48Z,電子決済,increment-run-003,workshop-participant,donation_events_003.csv,2026-09-01T00:03:20Z
EVT-FRS-002627,6002627,2005114,422029,3005311,12000,2026-08-21T15:15:17Z,クレジットカード,increment-run-003,workshop-participant,donation_events_003.csv,2026-09-01T00:03:20Z
EVT-FRS-011694,6011694,2006994,082368,3003366,20000,2026-08-21T15:17:00Z,クレジットカード,increment-run-003,workshop-participant,donation_events_003.csv,2026-09-01T00:03:20Z
EVT-FRS-002888,6002888,2001673,212121,3001428,15000,2026-08-21T15:18:45Z,クレジットカード,increment-run-003,workshop-participant,donation_events_003.csv,2026-09-01T00:03:20Z
EVT-FRS-008320,6008320,2008711,142182,3003447,10000,2026-08-21T15:24:13Z,コンビニ決済,increment-run-003,workshop-participant,donation_events_003.csv,2026-09-01T00:03:20Z
EVT-FRS-001829,6001829,2004750,452025,3005848,20000,2026-08-21T15:27:21Z,クレジットカード,increment-run-003,workshop-participant,donation_events_003.csv,2026-09-01T00:03:20Z
EVT-FRS-013980,6013980,2001563,082155,3003243,20000,2026-08-21T15:34:35Z,クレジットカード,increment-run-003,workshop-participant,donation_events_003.csv,2026-09-01T00:03:20Z
EVT-FRS-008380,6008380,2010657,261009,3003755,15000,2026-08-21T15:37:52Z,クレジットカード,increment-run-003,workshop-participant,donation_events_003.csv,2026-09-01T00:03:20Z
EVT-FRS-008633,6008633,2006576,062022,3001748,20000,2026-08-21T15:38:19Z,クレジットカード,increment-run-003,workshop-participant,donation_events_003.csv,2026-09-01T00:03:20Z
EVT-FRS-006981,6006981,2008773,232076,3005064,15000,2026-08-21T15:41:43Z,銀行振込,increment-run-003,workshop-participant,donation_events_003.csv,2026-09-01T00:03:20Z
EVT-FRS-003920,6003920,2010376,142042,3000705,20000,2026-08-21T15:45:04Z,クレジットカード,increment-run-003,workshop-participant,donation_events_003.csv,2026-09-01T00:03:20Z
EVT-FRS-007679,6007679,2005391,052141,3001670,25000,2026-08-21T15:46:35Z,クレジットカード,increment-run-003,workshop-participant,donation_events_003.csv,2026-09-01T00:03:20Z
EVT-FRS-011987,6011987,2004235,082155,3005221,12000,2026-08-21T15:49:26Z,クレジットカード,increment-run-003,workshop-participant,donation_events_003.csv,2026-09-01T00:03:20Z
EVT-FRS-001655,6001655,2005004,232050,3004419,50000,2026-08-21T15:53:52Z,クレジットカード,increment-run-003,workshop-participant,donation_events_003.csv,2026-09-01T00:03:20Z
EVT-FRS-005978,6005978,2000970,422126,3005107,15000,2026-08-21T16:03:34Z,コンビニ決済,increment-run-003,workshop-participant,donation_events_003.csv,2026-09-01T00:03:20Z
EVT-FRS-014252,6014252,2000912,012173,3003541,8000,2026-08-21T16:03:40Z,クレジットカード,increment-run-003,workshop-participant,donation_events_003.csv,2026-09-01T00:03:20Z
EVT-FRS-007693,6007693,2000902,402214,3002357,30000,2026-08-21T16:04:46Z,クレジットカード,increment-run-003,workshop-participant,donation_events_003.csv,2026-09-01T00:03:20Z
EVT-FRS-010281,6010281,2004329,213616,3001117,12000,2026-08-21T16:04:56Z,クレジットカード,increment-run-003,workshop-participant,donation_events_003.csv,2026-09-01T00:03:20Z
EVT-FRS-013449,6013449,2003474,022012,3000444,10000,2026-08-21T16:05:37Z,電子決済,increment-run-003,workshop-participant,donation_events_003.csv,2026-09-01T00:03:20Z
EVT-FRS-006493,6006493,2001749,331007,3001270,10000,2026-08-21T16:10:17Z,コンビニ決済,increment-run-003,workshop-participant,donation_events_003.csv,2026-09-01T00:03:20Z
EVT-FRS-011852,6011852,2003919,073440,3001907,12000,2026-08-21T16:11:44Z,銀行振込,increment-run-003,workshop-participant,donation_events_003.csv,2026-09-01T00:03:20Z
EVT-FRS-000516,6000516,2010725,462152,3003416,10000,2026-08-21T16:25:34Z,電子決済,increment-run-003,workshop-participant,donation_events_003.csv,2026-09-01T00:03:20Z
EVT-FRS-004897,6004897,2005170,092011,3005845,50000,2026-08-21T16:30:44Z,クレジットカード,increment-run-003,workshop-participant,donation_events_003.csv,2026-09-01T00:03:20Z
EVT-FRS-014381,6014381,2002054,452025,3004334,12000,2026-08-21T16:34:50Z,電子決済,increment-run-003,workshop-participant,donation_events_003.csv,2026-09-01T00:03:20Z
