BusinessID,GiftID
4000001,3000258
4000001,3003988
4000001,3005946
4000002,3001015
4000002,3002391
4000002,3003210
4000003,3000262
4000003,3001202
4000003,3003411
4000003,3003804
4000003,3004953
4000004,3001840
4000004,3002991
4000004,3003730
4000004,3005303
4000004,3005529
4000005,3000086
4000005,3000653
4000005,3002243
4000005,3002817
4000005,3004163
4000005,3005540
4000006,3000236
4000006,3000659
4000006,3001406
4000006,3001775
4000006,3002455
4000007,3001600
4000007,3002319
4000007,3002744
4000007,3003156
4000007,3003779
4000007,3004571
4000008,3001438
4000008,3003774
4000008,3005276
4000009,3003448
4000009,3003926
4000009,3004410
4000009,3005234
4000010,3000281
4000010,3000532
4000010,3001695
4000010,3002715
4000010,3002989
4000010,3005039
4000010,3005093
4000010,3005453
4000010,3005532
4000010,3005748
4000010,3005816
4000011,3001110
4000011,3002067
4000011,3002679
4000011,3004073
4000012,3003114
4000012,3003821
4000012,3004273
4000012,3004479
4000013,3001384
4000013,3001995
4000013,3003555
4000013,3004131
4000013,3004620
4000013,3005566
4000014,3001484
4000014,3002327
4000014,3003456
4000014,3004690
4000015,3001481
4000015,3002404
4000015,3003298
4000015,3003699
4000015,3004583
4000015,3004891
4000015,3005892
4000016,3001948
4000016,3002376
4000016,3002646
4000016,3004103
4000016,3005342
4000017,3000420
4000017,3000704
4000017,3001929
4000017,3002754
4000017,3004589
4000017,3005050
4000017,3005119
4000017,3005563
4000017,3005926
4000018,3000389
4000018,3000412
4000018,3001662
4000018,3002300
4000018,3002975
4000018,3005376
4000018,3005508
4000019,3000862
4000019,3000912
4000019,3001422
4000019,3002891
4000019,3003840
4000020,3000369
4000020,3002632
4000020,3002882
4000020,3003487
4000020,3003601
4000020,3005044
4000020,3005622
4000021,3000058
4000021,3000987
4000021,3001596
4000021,3002118
4000021,3002352
4000021,3003007
4000021,3004049
4000021,3004861
4000021,3005312
4000022,3000335
4000022,3001231
4000022,3001952
4000022,3002196
4000022,3002355
4000022,3002601
4000022,3003391
4000022,3004204
4000022,3005161
4000023,3000444
4000023,3000473
4000023,3000540
4000023,3002038
4000023,3002765
4000024,3004801
4000024,3005514
4000025,3000298
4000025,3001157
4000025,3001580
4000025,3001820
4000025,3003990
4000025,3004787
4000025,3005463
4000025,3005682
4000026,3000208
4000026,3000321
4000026,3001744
4000027,3000967
4000027,3002918
4000027,3003819
4000027,3004237
4000027,3005587
4000027,3005778
4000028,3000824
4000028,3005403
4000029,3002886
4000029,3003107
4000029,3003393
4000029,3004845
4000030,3000121
4000030,3000279
4000030,3003839
4000030,3004151
4000030,3004874
4000030,3005057
4000030,3005369
4000030,3005743
4000030,3005744
4000030,3005940
4000031,3000043
4000031,3000788
4000031,3001061
4000031,3001108
4000031,3001471
4000031,3002074
4000031,3004076
4000031,3005080
4000032,3000351
4000032,3000724
4000032,3004233
4000032,3004658
4000032,3004914
4000032,3005264
4000033,3000932
4000033,3001645
4000033,3002401
4000033,3004352
4000033,3005059
4000033,3005418
4000034,3001204
4000034,3002931
4000034,3003292
4000034,3003699
4000035,3000346
4000035,3001833
4000035,3002930
4000035,3004647
4000036,3000679
4000036,3001795
4000036,3002004
4000036,3002671
4000037,3001699
4000037,3001762
4000037,3002072
4000037,3002451
4000037,3004654
4000037,3004826
4000037,3004861
4000037,3005172
4000038,3000601
4000038,3001730
4000038,3003101
4000038,3003766
4000038,3004792
4000038,3005767
4000039,3000870
4000039,3002793
4000039,3003358
4000039,3003431
4000039,3005085
4000040,3000088
4000040,3000114
4000040,3001046
4000040,3001867
4000040,3002614
4000040,3003947
4000041,3000912
4000041,3002255
4000041,3003059
4000041,3003518
4000041,3004784
4000042,3000003
4000042,3001229
4000042,3003195
4000042,3005710
4000043,3001607
4000043,3002655
4000043,3003853
4000043,3004295
4000043,3004445
4000043,3005043
4000044,3000980
4000044,3002786
4000044,3004583
4000044,3005995
4000045,3002009
4000045,3003681
4000045,3004558
4000045,3004767
4000045,3005043
4000045,3005394
4000046,3000495
4000046,3000694
4000046,3000975
4000046,3001245
4000046,3001346
4000046,3001511
4000046,3001789
4000046,3002026
4000046,3003686
4000046,3004494
4000046,3004500
4000046,3004780
4000046,3004958
4000046,3005159
4000046,3005242
4000046,3005282
4000046,3005443
4000046,3005547
4000046,3005609
4000046,3005928
4000047,3000622
4000047,3000784
4000047,3002250
4000047,3003054
4000047,3005215
4000047,3005306
4000048,3000545
4000048,3000848
4000048,3001102
4000048,3001642
4000048,3002873
4000048,3003212
4000048,3003558
4000048,3003855
4000048,3004585
4000049,3000340
4000049,3001522
4000049,3003513
4000049,3004595
4000050,3000457
4000050,3001049
4000050,3001249
4000050,3002626
4000050,3002685
4000050,3002691
4000050,3003890
4000050,3004084
4000050,3004935
4000050,3005877
4000051,3000036
4000051,3001212
4000051,3002036
4000051,3004275
4000051,3004653
4000051,3004901
4000051,3005186
4000052,3001439
4000052,3001483
4000052,3001823
4000052,3002281
4000052,3002499
4000052,3005122
4000053,3000887
4000053,3001096
4000053,3001434
4000053,3002376
4000053,3005571
4000053,3005686
4000053,3005718
4000054,3001146
4000054,3001594
4000054,3002197
4000054,3002620
4000054,3002655
4000054,3003738
4000054,3004292
4000054,3005394
4000054,3005662
4000055,3001266
4000055,3001389
4000055,3003208
4000055,3003324
4000056,3000131
