BusinessID,BusinessName,PrefectureID,BusinessType,PrefectureName,BusinessTypeEn
4000001,農事組合法人熊取食品,27,食品加工,大阪府,Food processing
4000002,株式会社五泉酒造,15,酒造,新潟県,Sake and spirits brewing
4000003,有限会社愛荘本舗,25,伝統工芸,滋賀県,Traditional crafts
4000004,農事組合法人石垣農園,47,果樹・青果,沖縄県,Orchard and produce
4000005,農事組合法人宇治田原茶園,26,製茶・焙煎,京都府,Tea processing and roasting
4000006,株式会社川崎牧場,40,畜産・食肉加工,福岡県,Livestock and meat processing
4000007,株式会社米原米穀,25,米穀・製粉,滋賀県,Rice and milling
4000008,株式会社平生商店,35,食品加工,山口県,Food processing
4000009,農事組合法人上三川醸造,9,調味料製造,栃木県,Seasoning manufacturing
4000010,合同会社川内ライス,7,米穀・製粉,福島県,Rice and milling
4000011,協同組合朝日米穀,16,米穀・製粉,富山県,Rice and milling
4000012,農事組合法人南小国ツーリズム,43,観光・体験,熊本県,Tourism and experiences
4000013,有限会社丸亀製材,37,木工・家具,香川県,Woodwork and furniture
4000014,株式会社目黒酒造,13,酒造,東京都,Sake and spirits brewing
4000015,株式会社嘉手納ワイナリー,47,醸造,沖縄県,Brewing
4000016,株式会社名張ミート,24,畜産・食肉加工,三重県,Livestock and meat processing
4000017,有限会社高松牧場,37,畜産・食肉加工,香川県,Livestock and meat processing
4000018,合同会社大和酒造場,46,酒造,鹿児島県,Sake and spirits brewing
4000019,有限会社志木食品,11,食品加工,埼玉県,Food processing
4000020,株式会社茂原海産,12,水産・水産加工,千葉県,Fisheries and seafood processing
4000021,合同会社大刀洗酒造,40,酒造,福岡県,Sake and spirits brewing
4000022,有限会社高取フルーツ,29,果樹・青果,奈良県,Orchard and produce
4000023,協同組合今別酒造,2,酒造,青森県,Sake and spirits brewing
4000024,有限会社長与製麺,42,製麺,長崎県,Noodle manufacturing
4000025,合同会社吹田フーズ,27,食品加工,大阪府,Food processing
4000026,有限会社若狭酒造,18,酒造,福井県,Sake and spirits brewing
4000027,株式会社北杜デイリー,19,酪農・乳製品,山梨県,Dairy farming
4000028,有限会社多賀工房,25,伝統工芸,滋賀県,Traditional crafts
4000029,有限会社富士見酒造場,11,酒造,埼玉県,Sake and spirits brewing
4000030,株式会社加西海産,28,水産・水産加工,兵庫県,Fisheries and seafood processing
4000031,株式会社大菓子舗,20,製菓・製パン,長野県,Confectionery and bakery
