DonationID,DonorID,MunicipalityID,GiftID,DonationAmountYen,DonatedAt,PaymentMethod
5000001,2008242,222097,3002512,10000,2025-01-01T00:08:16Z,クレジットカード
5000002,2000588,302023,3000089,25000,2025-01-01T00:10:56Z,クレジットカード
5000003,2001894,122122,3001072,10000,2025-01-01T00:25:22Z,クレジットカード
5000004,2001159,102121,3002965,8000,2025-01-01T00:33:40Z,クレジットカード
5000005,2009273,203076,3005690,25000,2025-01-01T00:44:09Z,クレジットカード
5000006,2009777,454427,3000095,8000,2025-01-01T01:01:48Z,コンビニ決済
5000007,2011490,403822,3003700,10000,2025-01-01T01:02:08Z,電子決済
5000008,2006799,082121,3005090,10000,2025-01-01T01:06:17Z,クレジットカード
5000009,2003442,402079,3001485,10000,2025-01-01T01:29:06Z,クレジットカード
5000010,2006477,332020,3000972,10000,2025-01-01T01:34:10Z,電子決済
5000011,2011227,322075,3001179,12000,2025-01-01T01:40:06Z,クレジットカード
5000012,2001942,442071,3003897,10000,2025-01-01T01:53:06Z,電子決済
5000013,2003550,402214,3002357,10000,2025-01-01T01:58:39Z,クレジットカード
5000014,2002640,172120,3000647,15000,2025-01-01T02:18:37Z,クレジットカード
5000015,2010776,292028,3005268,15000,2025-01-01T02:31:40Z,クレジットカード
5000016,2001760,452025,3004014,8000,2025-01-01T03:03:50Z,クレジットカード
5000017,2001265,044245,3003629,10000,2025-01-01T03:10:35Z,銀行振込
5000018,2006603,014591,3000808,12000,2025-01-01T03:25:33Z,電子決済
5000019,2003603,012246,3000588,15000,2025-01-01T03:35:38Z,電子決済
5000020,2009708,222127,3003026,12000,2025-01-01T03:39:30Z,電子決済
5000021,2009518,032131,3002172,15000,2025-01-01T03:44:14Z,クレジットカード
5000022,2009399,063215,3005229,10000,2025-01-01T04:00:15Z,電子決済
5000023,2000481,152277,3004585,60000,2025-01-01T04:02:44Z,クレジットカード
5000024,2005718,232220,3001866,10000,2025-01-01T04:16:28Z,電子決済
5000025,2006404,182028,3004811,15000,2025-01-01T04:46:54Z,クレジットカード
5000026,2000060,012190,3003992,5000,2025-01-01T04:51:05Z,電子決済
5000027,2011262,092151,3001911,5000,2025-01-01T04:54:44Z,クレジットカード
5000028,2006968,112020,3006000,20000,2025-01-01T04:58:40Z,クレジットカード
5000029,2004271,022012,3000540,20000,2025-01-01T05:03:32Z,クレジットカード
