GiftID,GiftName,CategoryID,MunicipalityID,Notes,GiftNameEn
3000001,兵庫県産 プリン 詰め合わせ 12個,9,282103,菓子・スイーツ / 12個,"Confectionery and sweets from Hyogo, 12個"
3000002,静岡県産 漬物 詰め合わせ 6種,8,222151,惣菜・加工品 / 6種,"Prepared and processed foods from Shizuoka, 6種"
3000003,"山形県 観光施設 利用券 5,000円分",27,063011,"旅行券・宿泊券 / 5,000円分","Travel and accommodation vouchers from Yamagata, 5,000円分"
3000004,奥州市産 特別栽培米 玄米 20kg,3,032158,米・パン / 20kg,"Rice and bread from Iwate, 20kg"
3000005,南知多町 綿100% 寝具カバー 1式,21,234451,繊維・衣類 / 1式,"Textiles and apparel from Aichi, 1式"
3000006,長野県 木製パズル 1点,25,205613,文具・玩具 / 1点,"Stationery and toys from Nagano, 1点"
3000007,埼玉県産 ジェラート 詰め合わせ 12個,9,112232,菓子・スイーツ / 12個,"Confectionery and sweets from Saitama, 12個"
3000008,南島原市産 どら焼き 詰め合わせ 20個,9,422142,菓子・スイーツ / 20個,"Confectionery and sweets from Nagasaki, 20個"
3000009,長野県産 半生讃岐うどん 20食,7,205621,麺類 / 20食,"Noodles from Nagano, 20食"
3000010,袖ケ浦市産 味付ジンギスカン 1kg,1,122297,肉・肉加工品 / 1kg,"Meat and meat products from Chiba, 1kg"
3000011,岩手県産 味付ジンギスカン 2kg,1,034614,肉・肉加工品 / 2kg,"Meat and meat products from Iwate, 2kg"
3000012,京都府 磁器 湯呑 2客,19,262102,陶磁器・ガラス / 2客,"Ceramics and glassware from Kyoto, 2客"
3000013,大竹市 ガラス酒器 1式,19,342114,陶磁器・ガラス / 1式,"Ceramics and glassware from Hiroshima, 1式"
3000014,青森県産 富有柿 5kg,4,024252,果物 / 5kg,"Fruit from Aomori, 5kg"
3000015,三重県産 真鯛 フィレ 1kg,2,242080,魚介類・海産物 / 1kg,"Seafood from Mie, 1kg"
3000016,北海道産 豚ロース しゃぶしゃぶ用 2kg,1,014303,肉・肉加工品 / 2kg,"Meat and meat products from Hokkaido, 2kg"
3000017,和歌山県産 えごま油・亜麻仁油 180g×2本,16,304280,調味料・油 / 180g×2本,"Seasonings and oils from Wakayama, 180g×2本"
3000018,富良野市産 生乳100%牛乳 1L×6本,6,012297,卵・乳製品 / 1L×6本,"Eggs and dairy from Hokkaido, 1L×6本"
3000019,宮城県産 のどぐろ 干物 3枚,2,042030,魚介類・海産物 / 3枚,"Seafood from Miyagi, 3枚"
3000020,秋田県産 銘柄鶏 もも肉 3kg,1,053635,肉・肉加工品 / 3kg,"Meat and meat products from Akita, 3kg"
3000021,鹿児島県産 米焼酎 飲み比べ 720ml×3本,11,465241,焼酎・泡盛 / 720ml×3本,"Shochu and awamori from Kagoshima, 720ml×3本"
3000022,愛知県産 味噌 詰め合わせ 1kg×3個,16,232335,調味料・油 / 1kg×3個,"Seasonings and oils from Aichi, 1kg×3個"
3000023,高岡市産 純米大吟醸 1.8L,10,162027,日本酒 / 1.8L,"Sake from Toyama, 1.8L"
3000024,大洗町産 高糖度トマト 3kg,5,083097,野菜・きのこ / 3kg,"Vegetables and mushrooms from Ibaraki, 3kg"
3000025,府中市 陶器 マグカップ 2個,19,342084,陶磁器・ガラス / 2個,"Ceramics and glassware from Hiroshima, 2個"
3000026,新潟県産 生ラーメン セット 10食,7,152251,麺類 / 10食,"Noodles from Niigata, 10食"
3000027,滝沢市産 食パン 詰め合わせ 5斤,3,032166,米・パン / 5斤,"Rice and bread from Iwate, 5斤"
3000028,長野県産 男爵じゃがいも 20kg,5,203033,野菜・きのこ / 20kg,"Vegetables and mushrooms from Nagano, 20kg"
3000029,三重県産 明太子 切子 500g,2,242021,魚介類・海産物 / 500g,"Seafood from Mie, 500g"
3000030,島根県産 コシヒカリ 精米 10kg,3,324493,米・パン / 10kg,"Rice and bread from Shimane, 10kg"
3000031,栄町 釣具セット 1式,26,123293,スポーツ・アウトドア / 1式,"Sports and outdoor from Chiba, 1式"
3000032,東京都産 チーズケーキ 1台,9,131091,菓子・スイーツ / 1台,"Confectionery and sweets from Tokyo, 1台"
3000033,矢巾町産 あじ開き 20枚,2,033227,魚介類・海産物 / 20枚,"Seafood from Iwate, 20枚"
3000034,台東区 万年筆 1本,25,131067,文具・玩具 / 1本,"Stationery and toys from Tokyo, 1本"
3000035,山口県産 あじ開き 20枚,2,352101,魚介類・海産物 / 20枚,"Seafood from Yamaguchi, 20枚"
3000036,徳島市産 季節の野菜 詰め合わせ 10品目,5,362018,野菜・きのこ / 10品目,"Vegetables and mushrooms from Tokushima, 10品目"
3000037,茨城県産 ひとめぼれ 無洗米 5kg,3,082155,米・パン / 5kg,"Rice and bread from Ibaraki, 5kg"
3000038,北海道産 ハンバーグ 詰め合わせ 15個,1,016918,肉・肉加工品 / 15個,"Meat and meat products from Hokkaido, 15個"
3000039,青森県産 紅はるか さつまいも 10kg,5,022047,野菜・きのこ / 10kg,"Vegetables and mushrooms from Aomori, 10kg"
3000040,群馬県産 厚切り牛タン 500g,1,105252,肉・肉加工品 / 500g,"Meat and meat products from Gunma, 500g"
3000041,柏市 綿100% 寝具カバー 1式,21,122173,繊維・衣類 / 1式,"Textiles and apparel from Chiba, 1式"
3000042,香川県産 スモーク鴨ロース 400g,1,372072,肉・肉加工品 / 400g,"Meat and meat products from Kagawa, 400g"
3000043,長野県産 半生讃岐うどん 20食,7,203637,麺類 / 20食,"Noodles from Nagano, 20食"
3000044,埼玉県産 食パン 詰め合わせ 3斤,3,113492,米・パン / 3斤,"Rice and bread from Saitama, 3斤"
3000045,弟子屈町産 ハンバーグ 詰め合わせ 20個,1,016659,肉・肉加工品 / 20個,"Meat and meat products from Hokkaido, 20個"
3000046,館林市産 たまねぎ 20kg,5,102075,野菜・きのこ / 20kg,"Vegetables and mushrooms from Gunma, 20kg"
3000047,千葉県産 黒毛和牛 サーロインステーキ 200g×2枚,1,122271,肉・肉加工品 / 200g×2枚,"Meat and meat products from Chiba, 200g×2枚"
3000048,津島市産 プリン 詰め合わせ 12個,9,232084,菓子・スイーツ / 12個,"Confectionery and sweets from Aichi, 12個"
3000049,朝日村産 味付からあげ 1kg,8,204510,惣菜・加工品 / 1kg,"Prepared and processed foods from Nagano, 1kg"
3000050,高千穂町産 スモーク鴨ロース 600g,1,454419,肉・肉加工品 / 600g,"Meat and meat products from Miyazaki, 600g"
3000051,下関市 木製食器セット 4点,20,352012,木工品・家具 / 4点,"Woodwork and furniture from Yamaguchi, 4点"
3000052,岩倉市産 ぽん酢・ドレッシング 5本,16,232289,調味料・油 / 5本,"Seasonings and oils from Aichi, 5本"
3000053,兵庫県産 純米吟醸 飲み比べ 720ml×3本,10,282294,日本酒 / 720ml×3本,"Sake from Hyogo, 720ml×3本"
3000054,鹿児島県産 男爵じゃがいも 20kg,5,465291,野菜・きのこ / 20kg,"Vegetables and mushrooms from Kagoshima, 20kg"
3000055,静岡県産 国産紅茶 50g×4袋,14,222038,茶・コーヒー / 50g×4袋,"Tea and coffee from Shizuoka, 50g×4袋"
3000056,熊本県産 天然水 炭酸水 500ml×48本,15,432067,飲料・ジュース / 500ml×48本,"Beverages and juice from Kumamoto, 500ml×48本"
3000057,鳩山町産 佃煮 詰め合わせ 5種,8,113484,惣菜・加工品 / 5種,"Prepared and processed foods from Saitama, 5種"
3000058,福岡県産 和菓子 詰め合わせ 12個,9,402125,菓子・スイーツ / 12個,"Confectionery and sweets from Fukuoka, 12個"
3000059,群馬県産 佃煮 詰め合わせ 5種,8,102091,惣菜・加工品 / 5種,"Prepared and processed foods from Gunma, 5種"
3000060,胎内市 釣具セット 1式,26,152277,スポーツ・アウトドア / 1式,"Sports and outdoor from Niigata, 1式"
